"Название (Аббр.): Чек-лист для приложения ""Мобильный хоспис"". (MH)";;;
Описание:;;;
Статус: Не согласован;;;
Проверка формы авторизации;;;
;;;
№;Приоритет;Проверка;Результат
72;Средний;"Ввод текста, содержащего символы,в поле ""Заголовок""";Новость создана и отображается в ленте.
73;Средний;"Ввод текста, содержащего цифры,в поле ""Заголовок""";Новость создана и отображается в ленте.
74;Средний;"Ввод только цифр в поле ""Описание""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы
75;Средний;"Ввод только символов в поле ""Описание""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы
76;Средний;"Ввод только пробелов в поле ""Описание""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
77;Средний;"Ввод текста, содержащего символы,в поле ""Описание""";Новость создана и отображается в ленте.
78;Средний;"Ввод текста, содержащего цифры,в поле ""Описание""";Новость создана и отображается в ленте.
79;Средний;Ввод категории, отличной от предложенных. Например : Увольнение;"Появляется сообщение : ""Сохранение не удалось. Попробуйте позднее"""
80;Средний;Ввод категории, состоящей только из цифр;Новость не создана, появляется сообщение о том, что поле должно содержать буквы
81;Средний;Ввод категории, состоящей только из символов;Новость не создана, появляется сообщение о том, что поле должно содержать буквы
82;Средний;Ввод категории, состоящей только из пробелов;"Новость не создана, появляется сообщение ""Заполните пустые поля"""
83;Средний;Ввод категории, содержащей символы;Новость создана и отображается в ленте.
84;Средний;Ввод категории, содержащей цифры;Новость создана и отображается в ленте.
85;Средний;Просмотр описания новости;Открывается описание ранее созданной новости
86;Средний;Сортировка новостей от самой свежей к самой старой;Новости в ленте располагаются от свежайшей к старейшей
87;Средний;Сортировка новостей от самой старой к самой свежей;Новости в ленте располагаются от старейшей к свежайшей
88;Средний;Фильтрация новостей только по категории;Новости отображаются согласно выбранной в фильтре категории.
89;Средний;Фильтрация новостей только по дате;Отображаются новости, входящие в выбранный период.
90;Средний;Оставить все поля фильтрации пустыми;В списке отображаются все новости.
91;Средний;Фильтрация новостей по категории и дате;В списке отображаются новости за указанный период в выбранной категории.
92;Средний;Ввод в фильтр несуществующей категории;В списке новостей будет пусто
93;Средний;"В поле фильтра ""Категория"" ввести только цифры";Новость не создана, появляется сообщение о том, что поле должно содержать буквы
